Areaname,STCOU,PST045202D
UNITED STATES,00000,287803914
ALABAMA,01000,4472420
"Autauga, AL",01001,45157
"Baldwin, AL",01003,148141
"Barbour, AL",01005,29289
"Bibb, AL",01007,20983
"Blount, AL",01009,52775
"Bullock, AL",01011,11261
"Butler, AL",01013,20607
"Calhoun, AL",01015,110860
"Chambers, AL",01017,35952
"Cherokee, AL",01019,24143
"Chilton, AL",01021,40460
"Choctaw, AL",01023,15342
"Clarke, AL",01025,27273
"Clay, AL",01027,14173
"Cleburne, AL",01029,14376
"Coffee, AL",01031,43759
"Colbert, AL",01033,54594
"Conecuh, AL",01035,13699
"Coosa, AL",01037,11539
"Covington, AL",01039,36661
"Crenshaw, AL",01041,13580
"Cullman, AL",01043,77814
"Dale, AL",01045,49070
"Dallas, AL",01047,44944
"DeKalb, AL",01049,65545
"Elmore, AL",01051,68822
"Escambia, AL",01053,38319
"Etowah, AL",01055,102815
"Fayette, AL",01057,18244
"Franklin, AL",01059,30766
"Geneva, AL",01061,25458
"Greene, AL",01063,9840
"Hale, AL",01065,18047
"Henry, AL",01067,16326
"Houston, AL",01069,89849
"Jackson, AL",01071,53648
"Jefferson, AL",01073,659766
"Lamar, AL",01075,15317
"Lauderdale, AL",01077,86872
"Lawrence, AL",01079,34643
"Lee, AL",01081,118197
"Limestone, AL",01083,67108
"Lowndes, AL",01085,13459
"Macon, AL",01087,23651
"Madison, AL",01089,286037
"Marengo, AL",01091,22161
"Marion, AL",01093,30235
"Marshall, AL",01095,82922
"Mobile, AL",01097,398417
"Monroe, AL",01099,23803
"Montgomery, AL",01101,222936
"Morgan, AL",01103,111397
"Perry, AL",01105,11521
"Pickens, AL",01107,20708
"Pike, AL",01109,29279
"Randolph, AL",01111,22429
"Russell, AL",01113,49188
"St. Clair, AL",01115,67090
"Shelby, AL",01117,153918
"Sumter, AL",01119,14143
"Talladega, AL",01121,80247
"Tallapoosa, AL",01123,40947
"Tuscaloosa, AL",01125,166610
"Walker, AL",01127,70097
"Washington, AL",01129,17795
"Wilcox, AL",01131,12928
"Winston, AL",01133,24468
ALASKA,02000,642691
"Aleutians East, AK",02013,2640
"Aleutians West, AK",02016,5170
"Anchorage, AK",02020,268163
"Bethel, AK",02050,16541
"Bristol Bay, AK",02060,1136
"Denali, AK",02068,1860
"Dillingham, AK",02070,4951
"Fairbanks North Star, AK",02090,87329
"Haines, AK",02100,2301
"Hoonah-Angoon, AK",02105,2463
"Juneau, AK",02110,30717
"Kenai Peninsula, AK",02122,50822
"Ketchikan Gateway, AK",02130,13540
"Kodiak Island, AK",02150,13629
"Lake and Peninsula, AK",02164,1585
"Matanuska-Susitna, AK",02170,64540
"Nome, AK",02180,9185
"North Slope, AK",02185,7149
