Areaname,STCOU,area
UNITED STATES,00000,3537438.44
ALABAMA,01000,50744
"Autauga, AL",01001,595.97
"Baldwin, AL",01003,1596.35
"Barbour, AL",01005,884.9
"Bibb, AL",01007,623.03
"Blount, AL",01009,645.59
"Bullock, AL",01011,625.01
"Butler, AL",01013,776.87
"Calhoun, AL",01015,608.46
"Chambers, AL",01017,597.17
"Cherokee, AL",01019,553.12
"Chilton, AL",01021,693.98
"Choctaw, AL",01023,913.51
"Clarke, AL",01025,1238.38
"Clay, AL",01027,605.07
"Cleburne, AL",01029,560.21
"Coffee, AL",01031,678.99
"Colbert, AL",01033,594.53
"Conecuh, AL",01035,850.79
"Coosa, AL",01037,652.44
"Covington, AL",01039,1033.82
"Crenshaw, AL",01041,609.58
"Cullman, AL",01043,738.43
"Dale, AL",01045,561.07
"Dallas, AL",01047,980.71
"DeKalb, AL",01049,777.91
"Elmore, AL",01051,621.26
"Escambia, AL",01053,947.38
"Etowah, AL",01055,534.82
"Fayette, AL",01057,627.66
"Franklin, AL",01059,635.64
"Geneva, AL",01061,576.28
"Greene, AL",01063,645.87
"Hale, AL",01065,643.74
"Henry, AL",01067,561.8
"Houston, AL",01069,580.36
"Jackson, AL",01071,1078.74
"Jefferson, AL",01073,1112.61
"Lamar, AL",01075,604.85
"Lauderdale, AL",01077,669.46
"Lawrence, AL",01079,693.38
"Lee, AL",01081,608.71
"Limestone, AL",01083,568.05
"Lowndes, AL",01085,717.94
"Macon, AL",01087,610.52
"Madison, AL",01089,804.92
"Marengo, AL",01091,977.04
"Marion, AL",01093,741.41
"Marshall, AL",01095,567.06
"Mobile, AL",01097,1233.09
"Monroe, AL",01099,1025.85
"Montgomery, AL",01101,789.76
"Morgan, AL",01103,582.21
"Perry, AL",01105,719.48
"Pickens, AL",01107,881.42
"Pike, AL",01109,671.03
"Randolph, AL",01111,581.05
"Russell, AL",01113,641.32
"St. Clair, AL",01115,633.75
"Shelby, AL",01117,794.69
"Sumter, AL",01119,904.94
"Talladega, AL",01121,739.53
"Tallapoosa, AL",01123,717.93
"Tuscaloosa, AL",01125,1324.37
"Walker, AL",01127,794.39
"Washington, AL",01129,1080.66
"Wilcox, AL",01131,888.68
"Winston, AL",01133,614.44
ALASKA,02000,571951.26
"Aleutians East, AK",02013,6988.14
"Aleutians West, AK",02016,4396.77
"Anchorage, AK",02020,1697.21
"Bethel, AK",02050,40633.31
"Bristol Bay, AK",02060,504.92
"Denali, AK",02068,12749.65
"Dillingham, AK",02070,18674.78
"Fairbanks North Star, AK",02090,7366.24
"Haines, AK",02100,2343.73
"Hoonah-Angoon, AK",02105,7896.48
